Transaction_ID,Item
118,Milk
118,Cold Drink
118,Biscuits
118,Maggi
119,Milk
119,Cold Drink
119,Bread
119,Cheese
119,Butter
120,Juice
120,Biscuits
120,Eggs
120,Cheese
121,Cheese
121,Milk
121,Chips
121,Juice
122,Biscuits
122,Maggi
123,Milk
123,Chips
123,Cheese
123,Bread
123,Cold Drink
124,Milk
124,Maggi
124,Cheese
124,Juice
125,Milk
125,Eggs
125,Chips
125,Butter
126,Biscuits
126,Milk
126,Cheese
126,Butter
126,Juice
127,Butter
127,Juice
127,Milk
128,Butter
128,Chips
128,Eggs
128,Bread
128,Juice
129,Cold Drink
129,Juice
130,Chips
130,Cheese
130,Eggs
131,Maggi
131,Bread
132,Chips
132,Butter
133,Chips
133,Cold Drink
133,Juice
133,Biscuits
134,Cheese
134,Butter
134,Biscuits
134,Chips
134,Maggi
135,Juice
135,Milk
136,Chips
136,Bread
136,Juice
136,Cheese
136,Maggi
137,Eggs
137,Butter
138,Juice
138,Biscuits
138,Butter
138,Chips
139,Juice
139,Bread
139,Maggi
140,Biscuits
140,Eggs
141,Biscuits
141,Butter
141,Cold Drink
141,Eggs
141,Cheese
142,Cheese
142,Butter
143,Cold Drink
143,Eggs
143,Maggi
143,Cheese
144,Maggi
144,Eggs
144,Milk
145,Eggs
145,Cold Drink
145,Chips
145,Maggi
145,Bread
146,Eggs
146,Chips
147,Cheese
147,Chips
147,Eggs
147,Cold Drink
148,Cold Drink
148,Milk
148,Juice
148,Eggs
148,Butter
149,Juice
149,Eggs
149,Bread
149,Butter
150,Maggi
150,Juice
151,Cheese
151,Chips
151,Eggs
151,Maggi
151,Juice
152,Chips
152,Butter
152,Juice
152,Bread
152,Cold Drink
153,Maggi
153,Butter
154,Chips
154,Biscuits
154,Cold Drink
154,Eggs
155,Juice
155,Chips
155,Bread
155,Cold Drink
156,Biscuits
156,Milk
156,Cheese
156,Cold Drink
157,Eggs
157,Maggi
157,Biscuits
157,Butter
157,Bread
158,Juice
158,Bread
158,Maggi
158,Milk
159,Chips
159,Biscuits
159,Cold Drink
160,Milk
160,Butter
160,Maggi
160,Chips
161,Cheese
161,Eggs
161,Bread
161,Cold Drink
162,Juice
162,Milk
163,Biscuits
163,Bread
163,Chips
163,Eggs
163,Milk
164,Chips
164,Eggs
165,Butter
165,Milk
165,Eggs
165,Bread
165,Cheese
166,Butter
166,Juice
166,Biscuits
167,Milk
167,Chips
167,Cold Drink
167,Maggi
168,Cheese
168,Biscuits
169,Cheese
169,Cold Drink
169,Bread
169,Maggi
170,Milk
170,Cold Drink
170,Butter
170,Biscuits
170,Eggs
171,Milk
171,Juice
172,Eggs
172,Chips
172,Biscuits
173,Chips
173,Bread
173,Maggi
173,Butter
174,Milk
174,Eggs
174,Cold Drink
175,Biscuits
175,Eggs
176,Eggs
176,Biscuits
176,Juice
177,Biscuits
177,Eggs
177,Maggi
178,Eggs
178,Milk
179,Cold Drink
179,Eggs
180,Eggs
180,Chips
180,Milk
180,Butter
180,Cold Drink
181,Cheese
181,Biscuits
181,Maggi
181,Eggs
181,Milk
182,Maggi
182,Milk
182,Juice
183,Chips
183,Cold Drink
183,Bread
184,Cold Drink
184,Eggs
184,Chips
184,Butter
185,Bread
185,Eggs
185,Milk
185,Maggi
186,Eggs
186,Juice
187,Cold Drink
187,Bread
187,Milk
188,Chips
188,Juice
188,Eggs
189,Juice
189,Cold Drink
189,Chips
190,Cold Drink
190,Butter
190,Biscuits
191,Maggi
191,Butter
191,Milk
191,Eggs
191,Bread
192,Eggs
192,Cold Drink
192,Milk
193,Juice
193,Milk
193,Cold Drink
194,Milk
194,Biscuits
194,Cheese
195,Cold Drink
195,Juice
195,Biscuits
195,Chips
195,Milk
196,Juice
196,Cheese
196,Eggs
196,Bread
196,Biscuits
197,Maggi
197,Eggs
197,Bread
197,Cold Drink
198,Bread
198,Cheese
198,Eggs
198,Chips
198,Juice
199,Cheese
199,Biscuits
199,Butter
199,Eggs
199,Milk
200,Milk
200,Chips
200,Eggs
200,Juice
200,Cheese
